edad,trabajo,emarital,educacion,mora,ingresos,gastos,casa,prestamo,contacto,dia,mes,duracion,campa,tdias,previo,resultado,credito
58,manager,casado,terciaria,no,2195.77,78.9,si,no,NA,5,may,261,1,-1,0,NA,no
44,tecnico,soltero,secundaria,no,81.42,94.43,si,no,NA,5,may,151,1,-1,0,NA,no
33,empresario,casado,secundaria,no,64.42,116.42,si,si,NA,5,may,76,1,-1,0,NA,no
47,obrero,casado,NA,no,1578.42,29.52,si,no,NA,5,may,92,1,-1,0,NA,no
33,NA,soltero,NA,no,69.23,113.68,no,no,NA,5,may,198,1,-1,0,NA,no
35,manager,casado,terciaria,no,280.18,50.94,si,no,NA,5,may,139,1,-1,0,NA,no
28,manager,soltero,terciaria,no,510.93,159.96,si,si,NA,5,may,217,1,-1,0,NA,no
42,empresario,divorciado,terciaria,si,81.46,5.9,si,no,NA,5,may,380,1,-1,0,NA,no
58,retirado,casado,primaria,no,184.89,239.49,si,no,NA,5,may,50,1,-1,0,NA,no
43,tecnico,soltero,secundaria,no,684.21,43.61,si,no,NA,5,may,55,1,-1,0,NA,no
41,admin,divorciado,secundaria,no,347.35,40.14,si,no,NA,5,may,222,1,-1,0,NA,no
29,admin,soltero,secundaria,no,429.43,192.29,si,no,NA,5,may,137,1,-1,0,NA,no
53,tecnico,casado,secundaria,no,89.93,149.64,si,no,NA,5,may,517,1,-1,0,NA,no
58,tecnico,casado,NA,no,142.72,149.55,si,no,NA,5,may,71,1,-1,0,NA,no
57,servicios,casado,secundaria,no,238.21,176.18,si,no,NA,5,may,174,1,-1,0,NA,no
51,retirado,casado,primaria,no,305.21,271.76,si,no,NA,5,may,353,1,-1,0,NA,no
45,admin,soltero,NA,no,103.45,55.58,si,no,NA,5,may,98,1,-1,0,NA,no
57,obrero,casado,primaria,no,125.09,51.96,si,no,NA,5,may,38,1,-1,0,NA,no
60,retirado,casado,primaria,no,149.15,35.08,si,no,NA,5,may,219,1,-1,0,NA,no
33,servicios,casado,secundaria,no,84.62,9.88,si,no,NA,5,may,54,1,-1,0,NA,no
28,obrero,casado,secundaria,no,755.98,181.54,si,si,NA,5,may,262,1,-1,0,NA,no
56,manager,casado,terciaria,no,876.09,158.33,si,no,NA,5,may,164,1,-1,0,NA,no
32,obrero,soltero,primaria,no,89.89,4.91,si,si,NA,5,may,160,1,-1,0,NA,no
25,servicios,casado,secundaria,no,119.05,44.56,si,no,NA,5,may,342,1,-1,0,NA,no
40,retirado,casado,primaria,no,96.38,24.34,si,si,NA,5,may,181,1,-1,0,NA,no
