edad,trabajo,emarital,educacion,mora,ingresos,gastos,inversion,casa,prestamo,contacto,dia,mes,duracion,campa,tdias,previo,resultado,credito
58,manager,casado,terciaria,no,2195.77,78.9,906.3831601,si,no,NA,5,may,261,1,-1,0,NA,no
44,tecnico,soltero,secundaria,no,81.42,94.43,1434.498894,si,no,NA,5,may,151,1,-1,0,NA,no
33,empresario,casado,secundaria,no,64.42,116.42,435.4483765,si,si,NA,5,may,76,1,-1,0,NA,no
47,obrero,casado,NA,no,1578.42,29.52,1829.116668,si,no,NA,5,may,92,1,-1,0,NA,no
33,NA,soltero,NA,no,69.23,113.68,905.0637487,no,no,NA,5,may,198,1,-1,0,NA,no
35,manager,casado,terciaria,no,280.18,50.94,485.4510018,si,no,NA,5,may,139,1,-1,0,NA,no
28,manager,soltero,terciaria,no,510.93,159.96,553.9175465,si,si,NA,5,may,217,1,-1,0,NA,no
42,empresario,divorciado,terciaria,si,81.46,5.9,515.0719312,si,no,NA,5,may,380,1,-1,0,NA,no
58,retirado,casado,primaria,no,184.89,239.49,1281.560592,si,no,NA,5,may,50,1,-1,0,NA,no
43,tecnico,soltero,secundaria,no,684.21,43.61,3019.934482,si,no,NA,5,may,55,1,-1,0,NA,no
41,admin,divorciado,secundaria,no,347.35,40.14,718.8735099,si,no,NA,5,may,222,1,-1,0,NA,no
29,admin,soltero,secundaria,no,429.43,192.29,471.8167128,si,no,NA,5,may,137,1,-1,0,NA,no
53,tecnico,casado,secundaria,no,89.93,149.64,2633.005212,si,no,NA,5,may,517,1,-1,0,NA,no
58,tecnico,casado,NA,no,142.72,149.55,274.933714,si,no,NA,5,may,71,1,-1,0,NA,no
57,servicios,casado,secundaria,no,238.21,176.18,2013.750534,si,no,NA,5,may,174,1,-1,0,NA,no
51,retirado,casado,primaria,no,305.21,271.76,59.64977384,si,no,NA,5,may,353,1,-1,0,NA,no
45,admin,soltero,NA,no,103.45,55.58,3079.062628,si,no,NA,5,may,98,1,-1,0,NA,no
57,obrero,casado,primaria,no,125.09,51.96,383.9842821,si,no,NA,5,may,38,1,-1,0,NA,no
60,retirado,casado,primaria,no,149.15,35.08,2011.12402,si,no,NA,5,may,219,1,-1,0,NA,no
33,servicios,casado,secundaria,no,84.62,9.88,2699.295354,si,no,NA,5,may,54,1,-1,0,NA,no
28,obrero,casado,secundaria,no,755.98,181.54,1276.246903,si,si,NA,5,may,262,1,-1,0,NA,no
56,manager,casado,terciaria,no,876.09,158.33,457.8498942,si,no,NA,5,may,164,1,-1,0,NA,no
32,obrero,soltero,primaria,no,89.89,4.91,404.7678497,si,si,NA,5,may,160,1,-1,0,NA,no
25,servicios,casado,secundaria,no,119.05,44.56,659.9742052,si,no,NA,5,may,342,1,-1,0,NA,no
40,retirado,casado,primaria,no,96.38,24.34,1350.25014,si,si,NA,5,may,181,1,-1,0,NA,no
44,admin,casado,secundaria,no,-276.43,172.05,2535.778746,si,no,NA,5,may,172,1,-1,0,NA,no
39,manager,soltero,terciaria,no,320.96,121.1,2881.905012,si,no,NA,5,may,296,1,-1,0,NA,no
52,empresario,casado,secundaria,no,204.04,58.94,1795.687272,si,si,NA,5,may,127,1,-1,0,NA,no
46,manager,soltero,secundaria,no,-170.87,199.43,624.105705,si,no,NA,5,may,255,2,-1,0,NA,no
36,tecnico,soltero,secundaria,no,339.39,498.5,2030.954929,si,si,NA,5,may,348,1,-1,0,NA,no
57,tecnico,casado,secundaria,no,895.08,4.71,381.8123227,no,si,NA,5,may,225,1,-1,0,NA,no
49,manager,casado,terciaria,no,428.98,119.56,1180.262411,si,no,NA,5,may,230,1,-1,0,NA,no
60,admin,casado,secundaria,no,120.02,101.06,1943.299532,si,si,NA,5,may,208,1,-1,0,NA,no
59,obrero,casado,secundaria,no,73.1,55.81,1509.681945,si,no,NA,5,may,226,1,-1,0,NA,no
51,manager,casado,terciaria,no,10734.09,228.7,2380.64488,si,no,NA,5,may,336,1,-1,0,NA,no
57,tecnico,divorciado,secundaria,no,125.25,7.08,1131.813852,si,no,NA,5,may,242,1,-1,0,NA,no
25,obrero,casado,secundaria,no,50.83,135.95,2669.866583,si,no,NA,5,may,365,1,-1,0,NA,no
53,tecnico,casado,secundaria,no,40.33,90.06,3407.782538,no,no,NA,5,may,1666,1,-1,0,NA,no
36,admin,divorciado,secundaria,no,576.53,18.71,2217.010415,si,no,NA,5,may,577,1,-1,0,NA,no
37,admin,soltero,secundaria,no,63.12,56.12,1942.542174,si,no,NA,5,may,137,1,-1,0,NA,no
44,servicios,divorciado,secundaria,no,2638.43,11.28,1404.24064,si,no,NA,5,may,160,1,-1,0,NA,no
50,manager,casado,secundaria,no,141.84,105.25,365.4640774,si,no,NA,5,may,180,2,-1,0,NA,no
60,obrero,casado,NA,no,157.48,77.8,1806.366103,si,no,NA,5,may,22,1,-1,0,NA,no
54,retirado,casado,secundaria,no,601.31,105.71,3569.828639,si,no,NA,5,may,1492,1,-1,0,NA,no
58,retirado,casado,NA,no,157.04,64.27,828.717898,si,no,NA,5,may,616,1,-1,0,NA,no
36,admin,soltero,primaria,no,-83.21,40.89,4049.80416,si,no,NA,5,may,242,1,-1,0,NA,no
58,autoempleo,casado,terciaria,no,-290.06,124.62,1993.128196,si,no,NA,5,may,355,1,-1,0,NA,no
44,tecnico,casado,secundaria,no,73.96,46.01,364.9543654,si,no,NA,5,may,225,2,-1,0,NA,no
55,tecnico,divorciado,secundaria,no,44.28,0.07,1198.214533,no,no,NA,5,may,160,1,-1,0,NA,no
29,manager,soltero,terciaria,no,62.5,9.22,1134.429431,si,no,NA,5,may,363,1,-1,0,NA,no
54,obrero,casado,secundaria,no,1353.94,44.35,2502.294579,si,no,NA,5,may,266,1,-1,0,NA,no
48,manager,divorciado,terciaria,no,-150.22,37.53,2471.026709,si,no,NA,5,may,253,1,-1,0,NA,no
32,manager,casado,terciaria,no,90.96,392.6,684.6887738,si,no,NA,5,may,179,1,-1,0,NA,no
42,admin,soltero,secundaria,no,-14.32,67.88,1151.194993,si,no,NA,5,may,787,1,-1,0,NA,no
24,tecnico,soltero,secundaria,no,-21.31,64.97,3954.197585,si,si,NA,5,may,145,1,-1,0,NA,no
38,empresario,soltero,terciaria,no,332.19,74.89,567.0409932,no,si,NA,5,may,174,1,-1,0,NA,no
38,manager,soltero,terciaria,no,504.85,36.09,2562.781834,si,no,NA,5,may,104,1,-1,0,NA,no
47,obrero,casado,NA,no,395.79,139.45,596.647205,si,no,NA,5,may,13,1,-1,0,NA,no
40,obrero,soltero,NA,no,59,40.19,1689.531696,si,no,NA,5,may,185,1,-1,0,NA,no
